idCliente,idServidor,velocidad,distancia
0,1,600,10
2,9,300,6
3,9,300,10
4,9,600,7
5,9,300,7
6,9,600,7
7,9,900,7
8,9,600,4
10,13,300,7
11,13,300,2
12,13,600,6
14,21,300,8
15,21,900,3
16,21,300,3
17,21,900,1
18,21,300,5
19,21,900,3
20,21,300,3
23,34,900,1
24,34,900,5
25,34,900,6
26,34,600,10
27,34,900,10
28,34,900,3
29,34,900,5
30,34,300,2
31,34,300,10
32,34,600,8
33,34,600,2
35,41,900,5
36,41,900,8
37,41,300,3
38,41,600,7
39,41,900,5
40,41,900,10
42,43,300,4
44,53,300,6
45,53,600,3
46,53,300,6
47,53,300,10
48,53,900,5
49,53,300,2
50,53,900,5
51,53,900,7
52,53,900,4
54,55,600,4
56,61,600,10
57,61,600,1
58,61,900,4
59,61,300,7
60,61,300,5
62,68,900,3
63,68,600,9
64,68,600,5
65,68,600,7
66,68,600,4
67,68,600,4
69,71,600,1
70,71,600,4
72,74,900,1
73,74,600,3
76,89,600,2
77,89,600,4
78,89,600,8
79,89,900,1
80,89,300,6
81,89,300,3
82,89,900,2
83,89,300,3
84,89,900,7
85,89,900,10
86,89,300,6
87,89,600,2
88,89,600,9
90,95,900,1
91,95,300,10
92,95,900,1
93,95,300,8
94,95,600,4
96,103,600,4
97,103,300,10
98,103,600,7
99,103,900,4
100,103,600,1
101,103,900,8
102,103,600,2
104,105,600,4
106,108,300,10
107,108,600,3
110,117,300,9
111,117,300,3
112,117,300,3
113,117,300,10
114,117,300,10
115,117,900,7
116,117,600,1
118,133,900,3
119,133,600,5
120,133,900,6
121,133,900,10
122,133,300,4
123,133,900,10
124,133,900,5
125,133,900,3
126,133,900,9
127,133,600,10
128,133,300,2
129,133,900,8
130,133,900,10
131,133,600,2
132,133,900,4
134,140,300,7
135,140,600,1
136,140,900,3
137,140,600,8
138,140,600,5
139,140,900,4
143,152,600,3
144,152,600,4
145,152,300,7
146,152,900,4
147,152,600,7
148,152,600,8
149,152,600,4
150,152,600,5
151,152,600,7
154,155,600,3
157,160,900,7
158,160,300,10
159,160,300,10
161,162,300,2
163,173,600,8
164,173,900,4
165,173,600,9
166,173,900,3
167,173,300,8
168,173,900,4
169,173,600,9
170,173,600,8
171,173,300,6
172,173,300,10
174,176,600,10
175,176,600,1
177,183,600,6
178,183,900,9
179,183,900,9
180,183,600,7
181,183,600,1
182,183,600,5
184,188,600,8
185,188,900,10
186,188,900,8
187,188,600,10
189,190,600,10
191,195,900,1
192,195,900,5
193,195,300,1
194,195,900,9
196,204,300,8
197,204,300,10
198,204,900,8
199,204,900,6
200,204,900,8
201,204,300,7
202,204,600,1
203,204,600,5
205,211,900,6
206,211,300,6
207,211,900,6
208,211,900,8
209,211,900,6
210,211,300,2
212,214,300,9
213,214,900,1
215,216,600,1
217,218,300,9
219,221,600,3
220,221,300,10
222,228,900,4
223,228,300,7
224,228,600,1
225,228,600,8
226,228,600,10
227,228,900,4
230,242,300,9
231,242,600,5
232,242,600,5
233,242,900,7
234,242,300,2
235,242,600,6
236,242,300,7
237,242,600,4
238,242,600,3
239,242,600,2
240,242,900,5
241,242,300,9
244,253,900,8
245,253,300,4
246,253,900,4
247,253,900,9
248,253,900,6
249,253,300,3
250,253,300,4
251,253,300,10
252,253,900,4
254,257,600,4
255,257,600,5
256,257,600,8
258,265,600,2
259,265,600,4
260,265,600,2
261,265,900,5
262,265,900,1
263,265,900,6
264,265,900,8
266,269,900,2
267,269,600,6
268,269,300,1
270,275,900,8
271,275,900,3
272,275,900,8
273,275,600,7
274,275,900,5
276,277,300,2
279,281,300,2
280,281,300,3
282,283,900,7
287,288,300,9
291,294,600,9
292,294,300,4
293,294,900,5
1,61,2000,678
1,75,2000,485
1,89,1000,525
1,95,3000,129
1,108,1000,421
1,142,2000,600
1,156,2000,43
1,195,1000,586
1,229,3000,717
1,269,2000,655
1,275,3000,721
1,286,1000,321
1,290,3000,356
1,294,3000,208
9,21,2000,867
9,61,3000,259
9,68,3000,583
9,74,3000,672
9,75,1000,429
9,95,3000,675
9,140,3000,343
9,153,3000,869
9,156,1000,125
9,188,2000,492
9,221,3000,73
9,228,3000,713
9,229,1000,68
9,275,1000,846
9,277,3000,132
9,278,1000,776
9,281,2000,800
9,294,3000,536
13,55,3000,714
13,75,2000,587
13,103,2000,132
13,108,2000,96
13,117,2000,575
13,155,3000,454
13,176,1000,789
13,188,2000,47
13,216,2000,223
13,218,2000,28
13,221,3000,159
13,229,3000,523
13,253,1000,735
13,265,3000,502
21,34,1000,873
21,41,2000,742
21,43,1000,237
21,95,3000,830
21,103,3000,276
21,105,1000,961
21,108,1000,793
21,156,2000,666
21,160,1000,931
21,173,1000,459
21,188,2000,988
21,190,1000,555
21,204,3000,354
21,211,2000,336
21,218,1000,716
21,228,2000,215
21,253,3000,525
21,257,2000,522
22,55,3000,346
22,105,2000,763
22,117,1000,19
22,152,2000,616
22,153,2000,117
22,160,2000,142
22,173,1000,33
22,176,3000,221
22,190,1000,136
22,195,1000,832
22,218,2000,912
22,221,2000,518
22,228,1000,285
22,242,2000,269
22,243,3000,108
22,265,1000,764
22,281,3000,868
22,285,3000,112
34,55,3000,543
34,61,1000,68
34,103,3000,681
34,117,3000,703
34,156,3000,756
34,162,1000,599
34,195,2000,547
34,214,1000,805
34,229,1000,502
34,257,1000,603
34,275,1000,672
34,283,3000,531
34,289,2000,281
34,294,3000,604
41,55,1000,51
41,61,3000,730
41,68,2000,257
41,89,2000,27
41,141,2000,315
41,153,1000,266
41,190,3000,377
41,204,1000,139
41,211,3000,116
41,214,1000,956
41,216,2000,168
41,228,3000,821
41,257,1000,465
41,265,3000,846
41,281,3000,151
41,285,1000,821
43,68,2000,792
43,89,3000,435
43,108,1000,855
43,155,3000,183
43,173,3000,279
43,188,1000,191
43,221,1000,726
43,229,1000,240
43,242,2000,74
43,277,2000,402
53,105,3000,677
53,109,2000,754
53,140,3000,157
53,160,1000,873
53,176,1000,934
53,195,2000,712
53,204,2000,518
53,242,3000,203
53,257,2000,809
53,275,3000,317
53,277,3000,173
53,278,1000,536
53,281,1000,645
53,289,2000,110
55,71,3000,479
55,105,3000,624
55,142,2000,960
55,153,1000,333
55,160,2000,749
55,176,2000,471
55,228,3000,446
55,242,2000,850
55,243,3000,191
55,277,3000,119
55,281,1000,714
55,283,2000,209
55,286,1000,813
55,294,1000,633
61,75,1000,896
61,108,3000,62
61,141,3000,13
61,188,1000,182
61,204,1000,155
61,253,2000,228
61,265,1000,174
61,284,3000,787
61,286,1000,151
61,294,3000,107
68,117,3000,103
68,141,3000,73
68,152,1000,804
68,173,3000,343
68,204,1000,822
68,242,1000,766
68,265,1000,394
68,278,1000,143
71,117,2000,953
71,152,1000,846
71,160,2000,147
71,176,2000,803
71,190,3000,195
71,211,1000,932
71,218,1000,561
71,275,2000,898
71,294,2000,871
74,75,3000,989
74,89,2000,177
74,117,2000,416
74,133,3000,650
74,160,3000,218
74,162,1000,310
74,221,3000,694
