idCliente,idServidor,velocidad,distancia
0,3,900,9
1,3,900,8
2,3,300,5
4,11,300,8
5,11,600,10
6,11,300,6
7,11,300,2
8,11,300,7
9,11,600,7
10,11,600,10
12,19,300,1
13,19,300,2
14,19,900,1
15,19,600,9
16,19,600,5
17,19,300,7
18,19,600,8
20,27,900,3
21,27,600,9
22,27,600,5
23,27,900,6
24,27,300,4
25,27,300,7
26,27,900,9
28,31,900,8
29,31,900,4
30,31,300,4
32,37,300,7
33,37,300,4
34,37,300,8
35,37,900,5
36,37,300,2
38,47,600,5
39,47,300,7
40,47,300,1
41,47,900,4
42,47,900,3
43,47,900,10
44,47,300,1
45,47,600,4
46,47,900,7
48,51,900,2
49,51,300,8
50,51,900,7
52,55,900,5
53,55,900,9
54,55,900,3
57,60,900,9
58,60,300,9
59,60,900,2
61,62,600,9
63,64,600,2
65,72,900,2
66,72,600,7
67,72,900,1
68,72,600,4
69,72,600,10
70,72,300,9
71,72,900,7
73,74,300,7
75,76,900,4
77,78,900,2
79,81,300,6
80,81,300,7
82,85,300,5
83,85,300,1
84,85,600,8
86,89,900,4
87,89,600,2
88,89,300,5
90,97,600,4
91,97,600,6
92,97,900,10
93,97,300,5
94,97,900,3
95,97,300,9
96,97,900,3
99,101,600,3
100,101,600,5
102,106,900,4
103,106,600,5
104,106,300,10
105,106,900,2
107,110,900,3
108,110,600,6
109,110,600,6
112,113,900,10
115,119,600,5
116,119,600,4
117,119,900,7
118,119,600,3
121,125,300,3
122,125,900,8
123,125,900,2
124,125,600,8
126,129,300,5
127,129,600,2
128,129,300,3
130,131,300,3
132,135,600,1
133,135,300,2
134,135,900,8
136,140,600,9
137,140,900,3
138,140,300,4
139,140,300,7
142,143,300,6
144,145,900,2
146,147,600,6
148,159,900,2
149,159,600,10
150,159,300,1
151,159,600,2
152,159,900,3
153,159,600,1
154,159,900,10
155,159,900,6
156,159,300,3
157,159,300,2
158,159,900,9
160,165,300,10
161,165,600,6
162,165,600,9
163,165,300,6
164,165,900,5
166,169,300,5
167,169,300,8
168,169,300,1
170,171,900,4
173,175,300,3
174,175,600,2
176,177,600,8
178,179,300,3
180,186,300,7
181,186,600,5
182,186,300,8
183,186,600,4
184,186,900,7
185,186,600,7
187,188,300,3
189,191,600,10
190,191,900,7
192,193,600,7
194,195,900,1
196,205,900,7
197,205,600,3
198,205,300,1
199,205,300,9
200,205,600,1
201,205,600,3
202,205,900,5
203,205,300,6
204,205,300,10
206,220,600,7
207,220,900,5
208,220,600,3
209,220,900,8
210,220,900,1
211,220,300,6
212,220,300,6
213,220,900,7
214,220,600,3
215,220,900,3
216,220,300,5
217,220,900,9
218,220,300,5
219,220,600,7
221,223,600,2
222,223,300,7
224,233,300,3
225,233,600,8
226,233,300,7
227,233,300,9
228,233,600,10
229,233,900,3
230,233,300,6
231,233,600,1
232,233,600,6
234,235,300,3
237,240,900,5
238,240,900,5
239,240,600,3
241,242,300,4
243,256,300,6
244,256,300,5
245,256,900,5
246,256,300,1
247,256,600,4
248,256,300,4
249,256,900,1
250,256,600,1
